Mar 31 20:41:31 home/treadmill/state CONNECTED
Mar 31 20:41:31 home/treadmill/version 0.0.1
Mar 31 20:41:31 home/treadmill/status OFFLINE
Mar 31 20:41:31 home/treadmill/incline 0094
Mar 31 20:41:32 home/treadmill/incline 0091
Mar 31 20:41:32 home/treadmill/incline 0098
Mar 31 20:41:33 home/treadmill/incline 0097
Mar 31 20:41:33 home/treadmill/incline 0090
Mar 31 20:41:34 home/treadmill/incline 0093
Mar 31 20:41:34 home/treadmill/incline 0093
Mar 31 20:41:35 home/treadmill/incline 0096
Mar 31 20:41:36 home/treadmill/incline 0093
Mar 31 20:41:36 home/treadmill/incline 0092
Mar 31 20:41:37 home/treadmill/incline 0093
Mar 31 20:41:37 home/treadmill/incline 0093
Mar 31 20:41:38 home/treadmill/incline 0092
Mar 31 20:41:38 home/treadmill/incline 0094
Mar 31 20:41:39 home/treadmill/incline 0093
Mar 31 20:41:39 home/treadmill/incline 0093
Mar 31 20:41:40 home/treadmill/incline 0098
Mar 31 20:41:40 home/treadmill/incline 0092
Mar 31 20:41:41 home/treadmill/incline 0095
Mar 31 20:41:41 home/treadmill/incline 0093
Mar 31 20:41:42 home/treadmill/incline 0094
Mar 31 20:41:42 home/treadmill/incline 0092
Mar 31 20:41:43 home/treadmill/incline 0097
Mar 31 20:41:43 home/treadmill/incline 0094
Mar 31 20:41:44 home/treadmill/incline 0094
Mar 31 20:41:44 home/treadmill/incline 0093
Mar 31 20:41:45 home/treadmill/incline 0093
Mar 31 20:41:45 home/treadmill/incline 0090
Mar 31 20:41:46 home/treadmill/incline 0091
Mar 31 20:41:46 home/treadmill/incline 0093
Mar 31 20:41:47 home/treadmill/incline 0091
Mar 31 20:41:47 home/treadmill/incline 0092
Mar 31 20:41:48 home/treadmill/incline 0096
Mar 31 20:41:48 home/treadmill/incline 0096
Mar 31 20:41:49 home/treadmill/incline 0089
Mar 31 20:41:49 home/treadmill/incline 0092
Mar 31 20:41:50 home/treadmill/incline 0091
Mar 31 20:41:50 home/treadmill/incline 0094
Mar 31 20:41:51 home/treadmill/incline 0092
Mar 31 20:41:51 home/treadmill/incline 0094
Mar 31 20:41:52 home/treadmill/incline 0092
Mar 31 20:41:52 home/treadmill/incline 0091
Mar 31 20:41:53 home/treadmill/incline 0089
Mar 31 20:41:53 home/treadmill/incline 0091
Mar 31 20:41:54 home/treadmill/incline 0092
Mar 31 20:41:54 home/treadmill/incline 0091
Mar 31 20:41:55 home/treadmill/incline 0093
Mar 31 20:41:55 home/treadmill/incline 0093
Mar 31 20:41:56 home/treadmill/incline 0092
Mar 31 20:41:56 home/treadmill/incline 0092
Mar 31 20:41:57 home/treadmill/incline 0095
Mar 31 20:41:57 home/treadmill/incline 0091
Mar 31 20:41:58 home/treadmill/incline 0093
Mar 31 20:41:58 home/treadmill/incline 0090
Mar 31 20:41:59 home/treadmill/incline 0093
Mar 31 20:41:59 home/treadmill/incline 0090
Mar 31 20:42:00 home/treadmill/incline 0094
Mar 31 20:42:00 home/treadmill/incline 0092
Mar 31 20:42:01 home/treadmill/incline 0094
Mar 31 20:42:01 home/treadmill/incline 0092
Mar 31 20:42:02 home/treadmill/incline 0091
Mar 31 20:42:02 home/treadmill/incline 0095
Mar 31 20:42:03 home/treadmill/incline 0095
Mar 31 20:42:03 home/treadmill/incline 0089
Mar 31 20:42:04 home/treadmill/incline 0091
Mar 31 20:42:04 home/treadmill/incline 0094
Mar 31 20:42:05 home/treadmill/incline 0091
Mar 31 20:42:06 home/treadmill/incline 0092
Mar 31 20:42:06 home/treadmill/incline 0097
Mar 31 20:42:07 home/treadmill/incline 0090
Mar 31 20:42:07 home/treadmill/incline 0095
Mar 31 20:42:08 home/treadmill/incline 0094
Mar 31 20:42:08 home/treadmill/incline 0097
Mar 31 20:42:09 home/treadmill/incline 0092
Mar 31 20:42:09 home/treadmill/incline 0092
Mar 31 20:42:10 home/treadmill/incline 0094
Mar 31 20:42:10 home/treadmill/incline 0092
Mar 31 20:42:11 home/treadmill/incline 0091
Mar 31 20:42:11 home/treadmill/incline 0092
Mar 31 20:42:12 home/treadmill/incline 0092
Mar 31 20:42:12 home/treadmill/incline 0094
Mar 31 20:42:13 home/treadmill/incline 0092
Mar 31 20:42:13 home/treadmill/incline 0095
Mar 31 20:42:14 home/treadmill/incline 0091
Mar 31 20:42:14 home/treadmill/incline 0093
Mar 31 20:42:15 home/treadmill/incline 0091
Mar 31 20:42:15 home/treadmill/incline 0094
Mar 31 20:42:16 home/treadmill/incline 0093
Mar 31 20:42:16 home/treadmill/incline 0094
Mar 31 20:42:17 home/treadmill/incline 0092
Mar 31 20:42:17 home/treadmill/incline 0094
Mar 31 20:42:18 home/treadmill/incline 0091
